"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"58371",119690,"col","Amb",72.400002,32.549999,"Katta, Lower Productus-limestone (bed 9), Salt Range",NA,"",2,"Wordian","",268.8,265.1,16403,"gp_mid",52.62,-46.29,"501",1,266.95,"wordian"
"58372",119691,"col","Amb",72.580002,32.639999,"Nila Wan, among very lowest fossiliferous beds, Salt Range",NA,"Nilawan",2,"Wordian","",268.8,265.1,16403,"gp_mid",52.83,-46.39,"501",1,266.95,"wordian"
"58399",119726,"col","Amb",71.050003,32.200001,"Gulami, Lower Productus-limestone (Wynne bed 3), Khisor Range",NA,"",2,"Wordian","",268.8,265.1,27333,"gp_mid",51.5,-45.38,"501",1,266.95,"wordian"
"58411",119738,"col","Amb",72.580002,32.639999,"Nila-wan, very lowest fossiliferous bed, Lower Productus-limestone, Salt Range",NA,"Nilawan",1,"Wordian","",268.8,265.1,27333,"gp_mid",52.83,-46.39,"501",1,266.95,"wordian"
"58480",119817,"col","Amb",72.5,32.650002,"Pail, rusty sandy limestone, Lower Productus-limestone, Salt Range",NA,"",1,"Wordian","",268.8,265.1,27464,"gp_mid",52.8,-46.32,"501",1,266.95,"wordian"
"58557",119938,"col","Amb",72.150002,32.400002,"Verala scarp, Lower Productus-limestone, Salt Range",NA,"",2,"Wordian","",268.8,265.1,27310,"gp_mid",52.3,-46.16,"501",1,266.95,"wordian"
"58642",120027,"col","Wenbishan",117.199997,26.35,"Chengguan, Wenbishan Formation, Longyan County",NA,"",1,"Wordian","",268.8,265.1,34166,"gp_mid",123.09,-11.18,"611",1,266.95,"wordian"
"58644",120029,"col","Kufeng",117.300003,30.35,"Dalingpai, Upper Kufeng Fm, Pailou, Guichi County",NA,"",1,"Wordian","",268.8,265.1,34166,"gp_mid",120.61,-8.01,"611",1,266.95,"wordian"
"58648",120033,"col","Kufeng",117.800003,30.950001,"Fenshuiling, Kufeng Formation, Tongling County",NA,"",1,"Wordian","",268.8,265.1,34166,"gp_mid",120.57,-7.28,"611",1,266.95,"wordian"
"58654",120040,"col","Dingjiashan",118.599998,28.75,"Hengshan, Jiangshan",NA,"",1,"Wordian","",268.8,265.1,34166,"gp_mid",122.52,-8.54,"611",1,266.95,"wordian"
"58692",120078,"col","Dingjiashan",119.5,30,"Kuzishan, Tonglu County",NA,"",1,"Wordian","",268.8,265.1,34166,"gp_mid",122.32,-7.08,"611",1,266.95,"wordian"
"58695",120081,"col","Wenbishan",117.5,26.75,"Laohushan, Wenbishan Formation, Jiangle County",NA,"",1,"Wordian","",268.8,265.1,34166,"gp_mid",123.05,-10.7,"611",1,266.95,"wordian"
"58698",120084,"col","Dingjiashan",118.599998,28.75,"Luotanggang, Jiangshan County",NA,"",2,"Wordian","",268.8,265.1,34166,"gp_mid",122.52,-8.54,"611",1,266.95,"wordian"
"58706",120092,"col","Wenbishan",116.949997,26.450001,"Quanshang, Wenbishan Fm, Ninghua County",NA,"",2,"Wordian","",268.8,265.1,34166,"gp_mid",122.85,-11.24,"611",1,266.95,"wordian"
"58714",120100,"col","Dingjiashan",118.599998,28.75,"Shuangtangcun, Dingjiashan Fm, Jiangshan County",NA,"",1,"Wordian","",268.8,265.1,34166,"gp_mid",122.52,-8.54,"611",1,266.95,"wordian"
"58724",120110,"col","Xiaojiangbian",114.629997,27.23,"Xiaojiangbian Section, Upper Xiaojiangbian Fm, Anfu County",NA,"",2,"Wordian","",268.8,265.1,34166,"gp_mid",120.7,-11.91,"611",1,266.95,"wordian"
"58728",120114,"col","Xiaojiangbian",115.550003,25.950001,"Xinxuzi, Zishan, Yudou County",NA,"",1,"Wordian","",268.8,265.1,34166,"gp_mid",122.17,-12.42,"611",1,266.95,"wordian"
"58734",120120,"col","Kufeng",116.099998,30.15,"Zuoshan, Kufeng Formation, Susong County",NA,"",1,"Wordian","",268.8,265.1,34166,"gp_mid",119.92,-8.82,"611",1,266.95,"wordian"
"58764",120156,"col","Amb",72.199997,32.5,"Dokri, basal Lower Productus Limestone, Salt Range",NA,"",2,"Wordian","",268.8,265.1,27310,"gp_mid",52.45,-46.15,"501",1,266.95,"wordian"
"58765",120157,"col","Amb",71.099998,32.25,"Khisor Range, unspecified Verchere coaly sandstone loc",NA,"",1,"Wordian","",268.8,265.1,27310,"gp_mid",51.59,-45.4,"501",1,266.95,"wordian"
"58879",120321,"col","Oxtrack",150.270004,-25.290001,"UQ L2487, Fossil Ridge, Cracow",NA,"",3,"Wordian","",268.8,265.1,30366,"gp_mid",156.33,-66.69,"801",1,266.95,"wordian"
"58882",120324,"col","Oxtrack",150.270004,-25.290001,"UQ L4530, Cracow",NA,"",12,"Wordian","",268.8,265.1,27351,"gp_mid",156.33,-66.69,"801",1,266.95,"wordian"
"58883",120325,"col","Oxtrack",150.270004,-25.289,"UQ L4317, Fossil Ridge, Cracow",NA,"",11,"Wordian","",268.8,265.1,27351,"gp_mid",156.33,-66.69,"801",1,266.95,"wordian"
"58886",120328,"col","Oxtrack",150.270004,-25.289,"UQ L4318, Fossil Ridge, Cracow",NA,"",4,"Wordian","",268.8,265.1,27351,"gp_mid",156.33,-66.69,"801",1,266.95,"wordian"
