"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"135096",198873,"col","",23.47,47.5,"Vălenii Șomcutei locality, MF4‑rhodolith rudstone",NA,"",18,"Badenian","",13.65,12.7,67745,"gp_mid",25.14,43.94,"308",13.175,"serravallian",35475,19.5293,46.8948,7
"135131",199484,"col","Parana",-60.65,-31.88,"La Juanita",NA,"",5,"Serravallian","",13.82,11.62,15583,"gp_mid",-58.27,-31.51,"202",12.72,"serravallian",35483,-57.7042,-33.9831,7
"135584",200044,"col","",22.3,47,"Subpiatrǎ 2/1R",NA,"Subpiatra 2/1R",16,"MN 6","",13.65,12.75,68035,"gp_mid",24.02,43.48,"308",13.2,"serravallian",35542,19.5293,46.8948,7
"135763",200711,"col","Emunyan",35.87,2.95,"Nyanzapithecus alesi-type locality",NA,"Napudet",1,"Serravallian","",13.82,11.62,68537,"gp_mid",35.5,-0.88,"712",12.72,"serravallian",35601,35.7245,1.0633,7
"135830",200778,"col","Modelo",-118.45,34.14,"Millbrook Drive",NA,"LACM 1806; EDM-4",3,"Serravallian","",13.82,11.62,68731,"gp_mid",-112.71,36.44,"105",12.72,"serravallian",35637,-114.3969,32.6447,7
"135935",200903,"col","Villavieja",-75.2,3.28,"T.W. 20",NA,"ING-KU locality T.W. 20",1,"Laventan","",13.8,11.8,45865,"gp_mid",-71.6,4.07,"201",12.8,"serravallian",1605,-73.0392,0.936,7
"135936",200904,"col","Villavieja",-75.19,3.26,"T.W.1",NA,"ING-KU locality T.W. 1",1,"Laventan","",13.8,11.8,45865,"gp_mid",-71.59,4.05,"201",12.8,"serravallian",25624,-73.0392,0.936,7
"135937",200905,"col","Villavieja",-75.19,3.26,"T.W. 6",NA,"ING-KU locality T.W. 6",1,"Laventan","",13.8,11.8,45865,"gp_mid",-71.58,4.04,"201",12.8,"serravallian",25624,-73.0392,0.936,7
"136329",201827,"col","",23.62,46.53,"Râtul Pleşilor, Borzeşti Village",NA,"",1,"Badenian","",13.65,12.7,61722,"gp_mid",25.23,42.97,"308",13.175,"serravallian",35758,19.5293,46.8948,7
"138041",204218,"col","",5.52,43.77,"Motte d'Aigues",NA,"",1,"Serravallian","",13.82,11.62,69990,"gp_mid",7.23,41.46,"305",12.72,"serravallian",36148,1.1921,43.9483,7
